brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11,Woody,Floral,Arabian,Spicy,Oriental,Fruity,Fresh,Citrus,Vanilla,Musk,Aromatic,Jasmine,Rose,Sandalwood,Clean
Jimmy Choo,jimmy,188.95,EDP,Women,Floral,"Coffee, patchouli",Orchid,0,2.0,0.2041133963312951,3,Coffee,patchouli,,,,,,,,,,,Orchid,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasasi,Blue,35.0,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose and Pepper",1,1.0,0.0329627570872707,8,Amber,Woody,,,,,,,,,,,Cori,er,Geranium,Jasmine,Rose,Pepper,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dunhill,Desire Silver,118.95,EDT,Men,Floral,"Birch, Vetiver, Amber","Water Notes, Violet Leaf, Cardamom",1,1.0,0.1262923846581434,6,Birch,Vetiver,Amber,,,,,,,,,,Water Notes,Violet Leaf,Cardamom,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,Euphoria Amber Gold,166.0,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,2,2.0,0.1785992217898832,6,Lemon,Mint,Wood Moss,,,,,,,,,,Salwood,Sandalwood,Cedar,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Britney Spears,Fantasy,89.95,EDP,Women,Floral,"Creamy Musk, Orris Root, Sensual Woods","Cupcakes, White Chocolate Orchid, Jasmine Petals",0,2.0,0.0940522512506948,6,Creamy Musk,Orris Root,Sensual Woods,,,,,,,,,,Cupcakes,White Chocolate Orchid,Jasmine Petals,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUCCI,Guilty Absolute,299.85,EDP,Men,Woody,Woody Notes and Vetiver,Patchouli and Cypress,1,2.0,0.3274041133963313,4,Woody Notes,Vetiver,,,,,,,,,,,Patchouli,Cypress,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joop,Homme,57.0,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",1,1.0,0.0574207893274041,10,Patchouli,Salwood,Sandalwood,tonka beans,vanilla,,,,,,,,Cardamom,cinnamon,heliotrope,jasmine,lily of the valley,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GUESS,Guess Pink,92.7,EDP,Women,Fruity,"Amber, Oakmoss And Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang And Lily Of The Valley",0,2.0,0.0971095052807115,8,Amber,Oakmoss  Cedar,,,,,,,,,,,Peony,Magnolia,Freesia,Peach,Jasmine,Ylang Ylang  Lily Of The Valley,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calvin Klein,One Shock,104.7,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",1,1.0,0.1104502501389661,8,Vetiver,Salwood,Sandalwood,Amber,,,,,,,,,Osmanthus,Black Pepper,Cardamom,Black Basil,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lancome,Idol,299.0,EDP,Women,Floral,"White Musk, Vanilla","Turkish Rose, Rose De Mai Indian and Jasmine",0,2.0,0.3264591439688715,5,White Musk,Vanilla,,,,,,,,,,,Turkish Rose,Rose De Mai Indian,Jasmine,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,The Only One 2,137.9,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",0,2.0,0.1473596442468037,7,Tonka,Patchouli,Ambergris,Amber Woods,,,,,,,,,Red Rose,Violet,Coffee,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CARTIER,Declaration,240.0,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",1,2.0,0.2608671484157865,8,Cedar,Leather,Amberwood,BenzoinTolu,Balsam Vetiver,,,,,,,,Cardamom,Spices,Cumin,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marbert,Man,51.95,EDT,Men,Woody,"Musk, Sandalwood, Patchouli, Oak Moss, Virginia Cedar, Amber and Leather","Geranium,Jasmine,Lily Of The Valley,Majorjam,Coriander,Nutmeg",1,1.0,0.0518065591995553,15,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Virginia Cedar,Amber,Leather,,,,,Geranium,Jasmine,Lily Of The Valley,Majorjam,Cori,er,Nutmeg,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,One Shock,106.0,EDT,Men,Spicy,"Musk, Patchouli, Amber, and Tobacco","Black Pepper, Lively Black Basil and Resinous Cardamom",1,1.0,0.1118954974986103,8,Musk,Patchouli,Amber,,Tobacco,,,,,,,,Black Pepper,Lively Black Basil,Resinous Cardamom,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNITED COLORS OF BENETTON,Cold Silver,29.35,EDT,Men,Fresh,"Silver Moss, Mineral Amber and Musk","Cardamom, Silver Sage and Driftwood",1,1.0,0.0266814897165091,6,Silver Moss,Mineral Amber,Musk,,,,,,,,,,Cardamom,Silver Sage,Driftwood,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lancome,Miracle,242.0,EDP,Women,Arabian,"Amber, Musk, Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper, Jasmine",0,2.0,0.2630906058921623,9,Amber,Musk,Jasmine,,,,,,,,,,Magnolia,Ginger,M,arin Orange,Pepper,Jasmine,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHOPARD,Rose Malaki,189.95,EDP,Women,Spicy,"Cedarwood, Patchouli and Vanilla","Rose Absolu, Rose Petal Accord and Smoky Leather",0,2.0,0.205225125069483,6,Cedarwood,Patchouli,Vanilla,,,,,,,,,,Rose Absolu,Rose Petal Accord,Smoky Leather,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACOSTE,Blanc Pour Homme,95.0,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,1,1.0,0.0996664813785436,3,Leather,Suede  Cedar,,,,,,,,,,,Mexican Tuberose  Ylang-Ylang,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,Classic Red,64.95,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",1,1.0,0.0662590327959977,8,Patchouli,Cedar,Amber,Tonka,Vanilla,,,,,,,,Jasmine,Pepper,Ozonic Notes,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lancome,La Vie Est Belle,233.95,EDP,Women,Floral,"Patchouli, Tonka Bean, Vanilla, Praline","Iris, jasmine, Orange Blossom",0,2.0,0.2541411895497498,7,Patchouli,Tonka Bean,Vanilla,Praline,,,,,,,,,Iris,jasmine,Orange Blossom,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Givenchy,Dahlia Divin Nude,300.0,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",0,2.0,0.3275708727070595,7,Rose,Vanilla,Ginger,,,,,,,,,,Pine,Cardamom,Lavender,Rosemary,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dolce & Gabbana,The One,190.0,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",1,1.0,0.2052807115063924,4,Ambery,Cedar wood,,,,,,,,,,,Cardamom,Ginger,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,28.0,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla, Oakmoss, Cedar","Apricot, Iris, Water Jasmine, Lily-Of-The-Valley",1,1.0,0.0251806559199555,11,Salwood,Sandalwood,Amber,Musk,Vanilla,Oakmoss,Cedar,,,,,,Apricot,Iris,Water Jasmine,Lily-Of-The-Valley,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED COLORS OF BENETTON,Cold,27.2,EDT,Men,Spicy,"Patchouli, Vetiver and White Musk","Coriander, Lavender and Geranium",1,1.0,0.0242912729294052,7,Patchouli,Vetiver,White Musk,,,,,,,,,,Cori,er,Lavender,Geranium,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAROLINA HERRERA,Ch Men Sports,115.0,EDT,Men,Woody,"Sandalwood, Oak Moss And Vetiver",Sea Notes Mixed With Spices And Aromatic Accords – Sichuan Pepper And Juniper Berries,1,1.0,0.1219010561423012,4,Salwood,Sandalwood,Oak Moss  Vetiver,,,,,,,,,,Sea Notes Mixed With Spices  Aromatic Accords – Sichuan Pepper  Juniper Berries,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLOE,Nomade,290.1,EDP,Women,Floral,"Oakmoss, Amberwood, Patchoulli, Sandalwood, White Musk","Freesia, Jasmine, Rose, Peach",0,2.0,0.3165647581989994,10,Oakmoss,Amberwood,Patchoulli,Salwood,Sandalwood,White Musk,,,,,,,Freesia,Jasmine,Rose,Peach,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EMPORIO ARMANI,Stronger With You,154.8,EDT,Unisex,Floral,"Chestnut, vanilla, musk",Sage,2,1.0,0.166147859922179,4,Chestnut,vanilla,musk,,,,,,,,,,Sage,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mancera,Cedrat Boise,253.0,EDP,Unisex,"Aromatic,Citrus","Leather,Oakmoss,Vanilla,Woody Notes",Patchouli Leaves,2,2.0,0.275319622012229,5,Leather,Oakmoss,Vanilla,Woody Notes,,,,,,,,,Patchouli Leaves,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dunhill,Edition,108.45,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar And Tonka Bean","Carnation, Geranium, Jasmine And Clary Sage",1,1.0,0.1146192329071706,7,Vetiver,Salwood,Sandalwood,Cedar  Tonka Bean,,,,,,,,,Carnation,Geranium,Jasmine  Clary Sage,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CARTIER,Pasha Edition Noir,198.55,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,1,1.0,0.2147859922178988,2,Woody Amber  Cedar Accords,,,,,,,,,,,,Warm  Cuddly Aromas,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Givenchy,Blue Label,143.85,EDT,Men,Spicy,"Cedar, Olibanum and Vetiver","Cardamom, Lavender and Pepper",1,1.0,0.1539744302390217,6,Cedar,Olibanum,Vetiver,,,,,,,,,,Cardamom,Lavender,Pepper,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dior,Joy,360.0,EDP,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",0,2.0,0.3942745969983324,11,Salwood,Sandalwood,Cedar Wood,Vanilla,Caramel Musk,Woody Accords,,,,,,,Jasmine,Rose,Muget,Freesia,Cinnamon,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LALIQUE,Encre Noire,136.0,EDT,Men,Woody,"Musk, Cashmere Wood",Haitian and Bourbon Vetiver,1,1.0,0.1452473596442468,4,Musk,Cashmere Wood,,,,,,,,,,,Haitian,Bourbon Vetiver,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,CK One,98.0,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss, Green Tea And Green Accord","Nutmeg, Violet, Orris Root, Lily-of-the-valley, Rose, Freesia, And Jasmine",2,1.0,0.1030016675931072,14,Salwood,Sandalwood,Amber,Musk,Cedar,Oakmoss,Green Tea  Green Accord,,,,,,Nutmeg,Violet,Orris Root,Lily-of-the-valley,Rose,Freesia,Jasmine,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PACO RABANNE,Black XS,310.0,EDT,Men,Woody,Black Amber And Patchouli,Praline And Cinnamon,1,1.0,0.3386881600889382,2,Black Amber  Patchouli,,,,,,,,,,,,Praline  Cinnamon,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZZARO,Pour Homme,133.0,EDT,Men,Woody,"Leather, tonka bean, amber, musk, oakmoss","Sandalwood, juniper berries, patchouli, vetiver, cedar, cardamom",1,1.0,0.1419121734296831,12,Leather,tonka bean,amber,musk,oakmoss,,,,,,,,Salwood,Sandalwood,juniper berries,patchouli,vetiver,cedar,cardamom,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERRUTI 1881,Cerruti,117.0,EDT,Men,Floral,"Musk, Sandalwood, Patchouli, Oakmoss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-ylang, Rose, Lily-of-the-valley And Cassia",1,1.0,0.124124513618677,11,Musk,Salwood,Sandalwood,Patchouli,Oakmoss,Cedar,Pepper  Pine Tree,,,,,,Vetiver,Ylang-ylang,Rose,Lily-of-the-valley  Cassia,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasasi,Relation,55.0,EDP,Women,Fresh,Musk and Vanilla,"Bulgarian Rose, Lilac and Jasmine",0,2.0,0.0551973318510283,5,Musk,Vanilla,,,,,,,,,,,Bulgarian Rose,Lilac,Jasmine,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ESCADA,Magnetism,138.95,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver and Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-Of-The-Valley, Rose and Almond Blossom",0,2.0,0.148526959421901,20,Salwood,Sandalwood,Amber,Patchouli,Musk,Benzoin,Caramel,Vetiver,Vanilla,,,,Magnolia,Iris,Green Leaves,Freesia,Basil,Jasmine,Caraway,Heliotrope,Lily-Of-The-Valley,Rose,Almond Blossom,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOUCHERON,Pour Homme,165.7,EDP,Men,Woody,Patchouli and Sandalwood,Coriander and Basil,1,2.0,0.1782657031684269,6,Patchouli,Salwood,Sandalwood,,,,,,,,,,Cori,er,Basil,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORALL COLLECTION,Eventful,8.3,EDT,Women,Woody,Musk,"Rose, Ylang - Ylang",0,1.0,0.0032795997776542,3,Musk,,,,,,,,,,,,Rose,Ylang - Ylang,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,Body Kouros,229.35,EDT,Men,Woody,Benzoin,"Cedar, Sage",1,1.0,0.2490272373540856,3,Benzoin,,,,,,,,,,,,Cedar,Sage,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERSACE,L'Homme,145.0,EDT,Men,Citrus,"Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla","Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Sandalwood",1,1.0,0.1552529182879377,14,Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla,,,,,,,Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Salwood,Sandalwood,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ESCADA,Magnetism,139.4,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-of-the-valley, Rose",0,2.0,0.1490272373540856,19,Salwood,Sandalwood,Amber,Patchouli,Musk,Benzoin,Caramel,Vetiver,Vanilla,,,,Magnolia,Iris,Green Leaves,Freesia,Basil,Jasmine,Caraway,Heliotrope,Lily-of-the-valley,Rose,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DAVIDOFF,Cool Water,76.95,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",1,1.0,0.0795997776542523,10,Amber,Cedar,Musk,Oakmoss,Tobacco,,,,,,,,Geranium,Jasmine,Neroli,Salwood,Sandalwood,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joop,Go,103.95,EDT,Men,Fresh,Musk and Balsam Fir,"Cypress, Violet and Bourbon Geranium",1,1.0,0.1096164535853252,5,Musk,Balsam Fir,,,,,,,,,,,Cypress,Violet,Bourbon Geranium,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jacques Bogart,Silver Scent,55.0,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean and Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander and Geranium",1,1.0,0.0551973318510283,11,Vetiver,Litchi,Tonka Bean,Teak Wood,,,,,,,,,Cardamom,Rosemary,Nutmeg,Lavender,Cori,er,Geranium,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paris Hilton,Fairy Dust,94.0,EDP,Women,Floral,"Vanilla, Musk, Pacsuli","Peach,gardenia,lotus",0,2.0,0.0985547526403557,6,Vanilla,Musk,Pacsuli,,,,,,,,,,Peach,gardenia,lotus,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIVE,Windsor,29.95,EDP,Women,Fruity,"Vanilla, Blackberry, Amber","Jasmine, Magnalio, Orange Bloosm",0,2.0,0.0273485269594219,6,Vanilla,Blackberry,Amber,,,,,,,,,,Jasmine,Magnalio,Orange Bloosm,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NARCISO RODRIGUEZ,Narciso,284.95,EDP,Women,Floral,"Vetiver, White Cedar Extract and Cedar","Musk, Gardenia, White Rose",0,2.0,0.3108393551973318,6,Vetiver,White Cedar Extract,Cedar,,,,,,,,,,Musk,Gardenia,White Rose,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Choo,jimmy,185.0,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",1,1.0,0.199722067815453,6,Amber,Patchouli,Suede,,,,,,,,,,Geranium,Pineapple Leaf,Pink Pepper,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MONTBLANC,Explorer,9.5,EDP,Men,Woody,"Vetiver, Leather, Cedarwood","Patchouli, Mahonial, Ambrofix",1,2.0,0.0046136742634797,6,Vetiver,Leather,Cedarwood,,,,,,,,,,Patchouli,Mahonial,Ambrofix,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Klein,Euphoria,127.25,EDP,Men,Woody,"Black Violet, Liquid Amber, Mahogany, Cream Accords","Black Orchid, Champaca Flower",1,2.0,0.1355197331851028,6,Black Violet,Liquid Amber,Mahogany,Cream Accords,,,,,,,,,Black Orchid,Champaca Flower,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrari,Man In Red,119.9,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",1,1.0,0.1273485269594219,6,Cedar,Tonka Bean,Labdanum,,,,,,,,,,Lavender,Yellow Plum,Orange Blossom,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,Cinema,192.5,EDP,Women,Floral,"Vanilla, Amber, Benzoin, White Musk","Jasmine, Peony, Amaryllis",0,2.0,0.2080600333518621,7,Vanilla,Amber,Benzoin,White Musk,,,,,,,,,Jasmine,Peony,Amaryllis,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrari,Scuderia Red,96.65,EDT,Men,Fruity,"Cedar, Sandalwood, Moss And Vanilla","Jasmine, Geranium, Orris And Nutmeg",1,1.0,0.1015008337965536,7,Cedar,Salwood,Sandalwood,Moss  Vanilla,,,,,,,,,Jasmine,Geranium,Orris  Nutmeg,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jacomo,Silences,143.95,EDP,Women,Floral,"Woody,musky","Danmask Rose,iris,narcissus",0,2.0,0.1540856031128404,5,Woody,musky,,,,,,,,,,,Danmask Rose,iris,narcissus,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jil sander,Jil Sander,175.0,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",1,1.0,0.1886047804335742,8,Oakmoss,Cedar,Nutmeg,Woody Notes,,,,,,,,,Carnation,Geranium,Cinnamon,Patchouli,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AMOUAGE,Interlude,716.8,EDP,Men,Fresh,"Leather, Agarwood Smoke, Patchouli, Sandalwood","Amber, Frankincense, Opoponax, Cistus, Myrrh",1,2.0,0.7909394107837687,10,Leather,Agarwood Smoke,Patchouli,Salwood,Sandalwood,,,,,,,,Amber,Frankincense,Opoponax,Cistus,Myrrh,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GUESS,Marciano,108.95,EDP,Women,Floral,"Powdery Vanilla, Musk And Woody Accord","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",0,2.0,0.1151750972762646,4,Powdery Vanilla,Musk  Woody Accord,,,,,,,,,,,Floral Rhythm Of Peony,Pink Honeysuckle  Intensively Clean  Sweet Jasmine,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alina Corel,Nice Girl,28.45,EDP,Women,Fruity,"Amber, Vanilla, Musk","Jasmine, Tuberose",0,2.0,0.02568093385214,5,Amber,Vanilla,Musk,,,,,,,,,,Jasmine,Tuberose,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HUGO BOSS,Hugo Boss,95.0,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",1,1.0,0.0996664813785436,7,Patchouli,Fir,Cedar,,,,,,,,,,Carnation,Sage,Geranium,Jasmine,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MINI COLLECTION,Mini Collection No.1075,10.0,EDP,Unisex,Musk,wood,vanilla,2,2.0,0.0051695386325736,2,wood,,,,,,,,,,,,vanilla,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ajmal,Rain Drops,49.9,EDP,Women,Floral,Ambery Woody,Animalistic Floral,0,2.0,0.0495275152862701,2,Ambery Woody,,,,,,,,,,,,Animalistic Floral,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HUGO BOSS,Hugo,115.0,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",1,1.0,0.1219010561423012,7,Cedar Wood,Fir,Patchouli,,,,,,,,,,Carnation,Geranium,Jasmine,Sage,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Calvin Klein,One Shock,102.0,EDT,Men,Spicy,"Amber, Patchouli, Woodsy Notes, Musk","Cardamom, Pepper, Basil, Osmanthus",1,1.0,0.1074485825458588,8,Amber,Patchouli,Woodsy Notes,Musk,,,,,,,,,Cardamom,Pepper,Basil,Osmanthus,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHANEL,Allure Sensuelle,480.6,EDP,Women,Arabian,"Amber, Patchouli, Vanilla And Musk","Jasmine, Rose, Iris, Candied Fruits And Vetiver",0,2.0,0.528349082823791,8,Amber,Patchouli,Vanilla  Musk,,,,,,,,,,Jasmine,Rose,Iris,C,ied Fruits  Vetiver,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GIORGIO ARMANI,Eau De Cedre,470.0,EDT,Men,Woody,"Suede, Cedar Essence, Black Tea, Woody Notes","Violet Leaf, Cardamom and Cumin",1,1.0,0.5165647581989994,7,Suede,Cedar Essence,Black Tea,Woody Notes,,,,,,,,,Violet Leaf,Cardamom,Cumin,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mancera,Red Tobacco,340.0,EDP,Men,Woody,"Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods and White Musk","Patchouli Leaves, Jasmine",1,2.0,0.3720400222345747,8,Precious Tobacco,Amber,Woody Notes,Vetiver,Vanilla Pods,White Musk,,,,,,,Patchouli Leaves,Jasmine,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Paul GAULTIER,Scandal,350.0,EDP,Women,Floral,"Sandalwood, Caramel, Beeswax, Patchouli","Honey, Peach, Orange Blossom, Jasmine, Gardenia",0,2.0,0.3831573096164535,10,Salwood,Sandalwood,Caramel,Beeswax,Patchouli,,,,,,,,Honey,Peach,Orange Blossom,Jasmine,Gardenia,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Choo,Man Ice,204.9,EDT,Men,Woody,"Musk, moss, ambroxan","Vetiver, patchouli, cedar, apple",1,1.0,0.2218454697053919,7,Musk,moss,ambroxan,,,,,,,,,,Vetiver,patchouli,cedar,apple,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUGO BOSS,Deep Red,179.8,EDP,Women,Oriental,"Sandalwood, California Cedar, Vanilla, Musk","Freesia, Ginger, Ginger Flower, Hibiscus Seed, Freesia, Tuberose",0,2.0,0.193941078376876,11,Salwood,Sandalwood,California Cedar,Vanilla,Musk,,,,,,,,Freesia,Ginger,Ginger Flower,Hibiscus Seed,Freesia,Tuberose,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Calvin Klein,Escape,94.95,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",0,2.0,0.0996108949416342,14,Vanilla,Musk,Cedar,Salwood,Sandalwood,Oakmoss,Amber,Vetiver,,,,,Carnation,Rose,Peach,Lily of the Valley,Jasmine,Cloves,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DORALL COLLECTION,Dionysus,10.6,EDT,Men,Floral,"Aromatic Cedarwood, Tonka, Amber And Vetiver","Ozonic Tones With Geranium, Violet, Cool Eucalyptus And Crisp Green Apple",1,1.0,0.0058365758754863,6,Aromatic Cedarwood,Tonka,Amber  Vetiver,,,,,,,,,,Ozonic Tones With Geranium,Violet,Cool Eucalyptus  Crisp Green Apple,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
